Month,Avg Viewers,Gain,% Gain,Peak Viewers,Avg Streams,Gain,% Gain,Peak Streams,Hours Watched
Aug-25,14,-,-,"1,213",2,-,-,8,4.4K
Jul-25,14,-,-,139,2,-,-,5,661
