,month,peak,gain,average
102,2017-03-01,26504.0,1567.0,0.0
101,2017-04-01,22731.0,3773.0,0.0
100,2017-05-01,22099.0,632.0,0.0
99,2017-06-01,20312.0,1787.0,0.0
98,2017-07-01,20372.0,60.0,0.0
97,2017-08-01,18465.0,1907.0,0.0
96,2017-09-01,18755.0,290.0,0.0
95,2017-10-01,20891.0,2136.0,0.0
94,2017-11-01,24917.0,4026.0,0.0
93,2017-12-01,25817.0,900.0,0.0
92,2018-01-01,27622.0,1805.0,0.0
91,2018-02-01,26457.0,1165.0,0.0
90,2018-03-01,25896.0,561.0,0.0
89,2018-04-01,22707.0,3189.0,0.0
88,2018-05-01,18868.0,3839.0,0.0
87,2018-06-01,18856.0,12.0,0.0
86,2018-07-01,18327.0,529.0,0.0
85,2018-08-01,17136.0,1191.0,0.0
84,2018-09-01,17597.0,461.0,0.0
83,2018-10-01,18183.0,586.0,0.0
82,2018-11-01,20646.0,2463.0,0.0
81,2018-12-01,21865.0,1219.0,0.0
80,2019-01-01,23144.0,1279.0,0.0
79,2019-02-01,21470.0,1674.0,0.0
78,2019-03-01,19348.0,2122.0,0.0
77,2019-04-01,17386.0,1962.0,0.0
76,2019-05-01,16690.0,696.0,0.0
75,2019-06-01,15091.0,1599.0,0.0
74,2019-07-01,15371.0,280.0,0.0
73,2019-08-01,14971.0,400.0,0.0
72,2019-09-01,14731.0,240.0,0.0
71,2019-10-01,14937.0,206.0,0.0
70,2019-11-01,16895.0,1958.0,0.0
69,2019-12-01,18365.0,1470.0,0.0
68,2020-01-01,19141.0,776.0,0.0
67,2020-02-01,17762.0,1379.0,0.0
66,2020-03-01,30626.0,12864.0,0.0
65,2020-04-01,31930.0,1304.0,0.0
64,2020-05-01,29882.0,2048.0,0.0
63,2020-06-01,21059.0,8823.0,0.0
62,2020-07-01,18212.0,2847.0,0.0
61,2020-08-01,16560.0,1652.0,0.0
60,2020-09-01,16295.0,265.0,0.0
59,2020-10-01,18030.0,1735.0,0.0
58,2020-11-01,20916.0,2886.0,0.0
57,2020-12-01,22833.0,1917.0,0.0
56,2021-01-01,23903.0,1070.0,0.0
55,2021-02-01,21860.0,2043.0,0.0
54,2021-03-01,22393.0,533.0,0.0
53,2021-04-01,21698.0,695.0,0.0
52,2021-05-01,18140.0,3558.0,0.0
51,2021-06-01,16439.0,1701.0,0.0
50,2021-07-01,14998.0,1441.0,0.0
49,2021-08-01,14127.0,871.0,0.0
48,2021-09-01,14740.0,613.0,0.0
47,2021-10-01,15759.0,1019.0,0.0
46,2021-11-01,16406.0,647.0,0.0
45,2021-12-01,16648.0,242.0,0.0
44,2022-01-01,18530.0,1882.0,0.0
43,2022-02-01,18743.0,213.0,0.0
42,2022-03-01,16957.0,1786.0,0.0
41,2022-04-01,16696.0,261.0,0.0
40,2022-05-01,14212.0,2484.0,0.0
39,2022-06-01,13707.0,505.0,0.0
38,2022-07-01,14028.0,321.0,0.0
37,2022-08-01,13358.0,670.0,0.0
36,2022-09-01,13512.0,154.0,0.0
35,2022-10-01,13846.0,334.0,8148.0
34,2022-11-01,16122.0,2276.0,8696.0
33,2022-12-01,16250.0,128.0,9173.0
32,2023-01-01,17171.0,921.0,9741.0
31,2023-02-01,16364.0,807.0,9230.0
30,2023-03-01,15835.0,529.0,8942.0
29,2023-04-01,15526.0,309.0,8433.0
28,2023-05-01,13619.0,1907.0,7706.0
27,2023-06-01,13078.0,541.0,7688.0
26,2023-07-01,13367.0,289.0,7812.0
25,2023-08-01,12519.0,848.0,7499.0
24,2023-09-01,13621.0,1102.0,7631.0
23,2023-10-01,14241.0,620.0,7977.0
22,2023-11-01,14498.0,257.0,7973.0
21,2023-12-01,14646.0,148.0,8186.0
20,2024-01-01,15678.0,1032.0,8585.0
19,2024-02-01,15051.0,627.0,8240.0
18,2024-03-01,16326.0,1275.0,8890.0
17,2024-04-01,14510.0,1816.0,8238.0
16,2024-05-01,15880.0,1370.0,8993.0
15,2024-06-01,16640.0,760.0,9613.0
14,2024-07-01,19364.0,2724.0,10420.0
13,2024-08-01,15133.0,4231.0,8853.0
12,2024-09-01,16734.0,1601.0,9277.0
11,2024-10-01,16985.0,251.0,9839.0
10,2024-11-01,17964.0,979.0,10189.0
9,2024-12-01,19647.0,1683.0,11387.0
8,2025-01-01,20746.0,1099.0,11888.0
7,2025-02-01,19683.0,1063.0,11507.0
6,2025-03-01,18635.0,1048.0,10269.0
5,2025-04-01,18205.0,430.0,9653.0
4,2025-05-01,15811.0,2394.0,9224.0
3,2025-06-01,15730.0,81.0,8251.0
2,2025-07-01,14626.0,1104.0,7412.0
1,2025-08-01,12680.0,1946.0,7007.0
