videoId,publishedAt,channelId,channelTitle,title,description,viewCount,likeCount,commentCount,favoriteCount,categoryId
Zg_LtAojTSE,2007-02-14T21:35:59Z,UC8lXwx-RSD10nYvAM6oQFFg,theghoul22,Counter-strike source demo complete Pt. 2,Part two,389,0,0,0,24
uyXT1EI5u2g,2007-02-17T11:14:34Z,UCRjbvYNEWhoNEdb8TJJoXpw,UltimateDZL,Counter strike Source Movie show,Just a Music video that i made by putting every video about counter strike that i found,386,3,0,0,1
bzm9QqLyEqA,2007-02-12T12:45:17Z,UCPMWu-TKVAn01flfCaaMUhA,Drouster,Counter Strike 1.6 Exilgamers,"RIP es war ne geile zeit und das sind kleine errinnerungen an diese schöne Zeit 

mein neuer Clan mysticgaming.eu visit us ;) stay tuned",384,3,1,0,24
NoqaZ17pnpc,2007-02-10T02:47:51Z,UCOFfMXaoJqWEINoFopnPNkA,tunnuk,counter-strike video {Night},See on teine {Night} clani video,384,3,0,0,24
T5X_XBqUCFY,2007-02-28T06:07:04Z,UCgJ7K9WmGhEMfJSo0VH2ffw,bouds1,Dj.JaKE Highlights from CAL Season 7 Week 5,"Clips from match on de_train vs MIA. #h0stlity won 24-6. GG

The music is not mine.",383,2,1,0,24
RDGEgd0iWms,2007-02-08T22:26:51Z,UCqve4H2h7-e1FttRLHLzxJg,Nikoz182,new version counter-strike OmeGq`,hf gl nice ^^,379,0,1,0,24
sVpW88-yfic,2007-02-04T10:30:14Z,UCdEibBBYcABlR9REcypcztQ,munck9lars,SoK FG Counter Strike,Play fun!!!,373,1,1,0,24
KMmJ-QLgxjc,2007-02-01T23:00:05Z,UCIpO5u3lTbTZSy3rH_8VNXw,powergraff,counter strike,counter strike 1.6,373,1,0,0,24
585f9YDfBQ8,2007-02-28T15:29:19Z,UCIVKcn5MijFkhuqZY2VHpbQ,Huuba81,Aj vs Undefined @ mill,"csgn match @ mill, highlights
10 min project! yay",370,1,2,0,24
5Eu7mkpPQvw,2007-02-20T21:30:19Z,UCYBOSnCfwk9TLTfH0VvYhGA,SenorPaulRichter,Counter-Strike Terror Dance!,funny cs vid,365,3,0,0,24
EAFWyV5u2Ho,2007-02-23T09:15:33Z,UCDpPpdwQUb-1MwinVpLIm5A,Dean,TD-ace,c0Nz taking down su online on the pistol round of inferno,365,3,1,0,1
sxpShXV-q38,2007-05-22T18:59:29Z,UCkLIy30-DgkOr4gBFJGDfEw,lorenzofabiani,enSon awp full team counter strike,:),451,0,1,0,24
DVvKkIp8siY,2007-05-09T16:48:12Z,UC96EiKQXBIcVfzDneSucc_A,tanmaster73,counter strike touch,"video de counter strike source , frag de pgm , sur css , sponsorisé par x-style clan .",450,1,0,0,17
O3_J-JnGOdY,2007-05-02T05:10:32Z,UC8VdcQ7cIyKSdNyksOdXoHw,MrBublet,desio cs miniclip,desio with a  couple of frags..,449,0,0,0,1
UYrp8e0sFMw,2007-05-08T21:03:51Z,UCpLVAQAWgBpAQ6HCe_vC7Qg,sylweeE,LECRAM__ of infected - counter strike,"Highly skilled young lad, I myself believe will go far in the world of gaming and warcraft.",445,4,1,0,20
N9HEfTnRmsg,2007-05-25T13:35:46Z,UClrZ-bZ2zwr0cKfTp-PfBng,FreedomJeffrey,Freedom Counterstrike Movie,Freedom Freakz-squad,438,2,0,0,17
H0tHLX2FvHA,2007-05-01T01:01:59Z,UCm7a8UpjQElk0Mm3FZeTHFA,MrFlashy23,counter strike source,me playing counter strike its mi first video..so no bad comments..=),438,4,1,0,24
4L-fgdsR1fs,2007-05-19T11:41:48Z,UCjnJf9MVlJRvObVNlTh-iGA,eyal maymon,Counter-Strike-S.SEEKER Clan !,CStrike 1.6 movie,427,0,1,0,24
HZW7Dkk4Mgs,2007-05-11T19:48:28Z,UC1N_6spm_bFqJgVcp4lNC3Q,nino131313,counter strike 300,a very cool counter strike video based on the film 300,425,4,0,0,1
HSXJgYtkNSU,2007-05-23T20:23:52Z,UCz9zRT4h84TaG24xSrCZBsg,vaz013,Counter Strike Condition Zero First Movie,This is me and my friend first movie so be nice to it:),422,3,2,0,24
WvB-QBPcd8w,2007-05-25T18:22:18Z,UCoF5ImCXKngdvsh3aODYfBQ,Felipe Gayo,Counter-Strike Complet By Renz0,Counter-Strike Complet By Renz0,420,1,0,0,24
Hw8ACHJaKv8,2007-05-13T18:49:33Z,UClaorQWqDJrfHad7tNaJ3wg,scarthman,Scarthman Owning in Counter strike Source,This is a video of me in several differnt occasions owning people in CSS.,417,0,0,0,24
qkieB9vM5us,2007-05-02T12:47:32Z,UC_4GcwSEol4cwCKLiMgUlMQ,NiGhTMaReMoViEs,CounterStrike Source Fragmovie Part 2,ClanKillerZ NightMare,416,1,3,0,24
vV2gByS52UQ,2007-05-11T16:48:51Z,UChBNdiBEZuuMuZ8OvIAeenA,oboyen93,Counter strike 1.6 Sekan,Jaja kolla bara,413,1,1,0,24
b2NQq6XQ0DM,2007-05-12T00:09:22Z,UCbp-e8Zv_0OJKUVlWY-7mAg,ExTremal001,Funny  Counter-Strike,Funny  Counter-Strike,407,0,0,0,1
2S3LpXiAuh4,2007-05-03T23:35:50Z,UCB7eD32dDz9QpFHLDY-BeLg,ofpmofo,Knife Vid 1,My new knife vid,405,2,2,0,24
bENRW2Co8x4,2007-05-13T15:53:21Z,UCiO-9JHP-JvkqmZXddj71eQ,cssflames1691,Counter-Strike,Raven's Rebels first official promo Video created by »ЯR« Iģŋĭŧĕ! Enjoy!,399,3,0,0,24
N-F3MLz2ElA,2007-05-23T09:42:07Z,UC8dXaU8ZIoZio-BZ3LsH6GQ,BonzoRofman,Counter Strike Movie Beggining,bla bla Vegas 7 bla bla,394,1,0,0,24
DKfba7Nq6xY,2007-05-27T13:01:39Z,UCEM4mGK42pVQ_eWKmwdXCbw,souljah415,Counter strike : source,just a short clip from a begining of a film.,393,6,,0,24
0oI1fHVuzrU,2007-05-21T14:58:45Z,UC6uOvZJTHj21oPOlMbhgOrA,Bl4ckDmon1,Testing out Vegas Video,I suck with teh awp :p,389,8,3,0,15
2Dm75jaS7c8,2007-05-09T20:30:03Z,UC1hOGEKTyVqM9JxC85Haakw,Andrew,assisted Suicide COTW Week 2 (CS 1.6),"This is the Clip of the Week for the CS 1.6 team assisted Suicide during their time in CAL-O during the Spring/Summer of 2005. Enjoy!

Made by http://www.simple-media.org",387,1,0,0,24
b6m-AOZChLA,2007-05-05T11:42:27Z,UC3wdNIGKrxtISECWd6szvwQ,kalenturas,counter strike 1.6 player kalent DEATHMACH. DaLiAs. KaLmA. S,counter strike 1.6,386,0,0,0,24
4iq0h1Dlk7g,2007-05-17T16:19:00Z,UC6StdEngLqTUtS-rrs86bxQ,ffeSTAR,Counter Strike Frag Movie by ffeSTARRRR,"PLayers : ffeSTARRRR / ffe ;)

CS Frag!

Play hard GO Pro !!!",380,1,1,0,24
9QbHCiTetVA,2007-05-28T17:13:39Z,UCkdRkfKhpPXgrMnTfY62kqQ,garibagdad,jaow counter strike,cs counter strike mozart amadeus jaow,377,1,2,0,10
cyNWE5FtKxc,2007-05-14T22:26:24Z,UC15De5dvsXgVO_iCsPLHBNA,fnpvodkaboy,FnP Vodkaboy vid counterstrike css,first attempt be gentle loool,376,2,0,0,24
ae-i_nGjSIU,2007-05-07T16:44:23Z,UCxCaw9PKcbyX4zA6VbFpZ5w,infusion3,why source isnt as gay as 1.6,This is the reason why source is not NEARLY as gay as 1.6 is today.,371,,,0,24
zQtD0JJ8APQ,2007-05-29T16:23:04Z,UC1Rd2FRBhev31ENUEpAqT0w,Derpina,ChOi's counter strike,filmik Tomka,371,0,0,0,24
PLXyyujrVns,2007-05-29T20:17:06Z,UCWKVgkn5Id5OlYR5LRGe6cg,al3kss,Aki@ counter-strike,Proffesional player Aki@ counter strike video,369,0,1,0,1
RJJOkd6LPlg,2007-05-07T03:10:56Z,UCraUHe5F2P28_KGXC1b4-vg,misteripwn,CsW Tmbl Vs Steak.,Running over short Tmbldwn of Csw Jumps backwards and stabs steak in the back.,367,0,2,0,1
JMm_3qtSktA,2007-05-31T07:26:41Z,UCjj4j1Mn9nBd-NKs0WpuNdQ,ReAniM123,Counter-strike[MHz] :) KAT9,Counter-strike[MHz] :) KAT9,361,4,0,0,1
Sv2XHNHGkwg,2007-05-01T07:58:36Z,UCk4DyWmlw4fdqM853boP15w,Weatherman159357,Counter Strike: Sudy,A czech - only parody video.,352,2,2,0,24
JNv8iS_5hfw,2007-05-17T14:56:48Z,UCxFwC42gLOBrrvQQc5rkojA,babygirlcamy,Counter Strike Source,:D Ownage by me and a few friends,352,5,2,0,23
T7XfqCSUE5o,2007-05-23T23:01:52Z,UC3H58yt_PKDMl0G8_dmf0pA,alexcarca,Team Blueberry counter strike,Team Blueberry counter strike,349,1,0,0,24
SJzcsl8QjDI,2007-05-13T11:37:59Z,UCNTJEhK5D4O1cU5Dhugknbg,PgMaT,Counter-strike Source PgMat_^,it's on PgM,347,0,2,0,24
04OgS5rmLB8,2007-05-23T03:14:11Z,UC2Q5DA9gNoNwgnEzkAHo6EA,xF1sTx,counter strike on xbla part 2 backwards capat. 1080p HD,more hd gaming on xbla,333,2,2,0,24
IjSpeu5ZIeY,2007-05-27T21:05:23Z,UC0kf1voEepjBYquRglwU61w,spockcs,Counter Strike spock ;*~,"Ta aee um video deu jogando CS
Aproveitem!!",329,0,0,0,1
ASfYkOXJ940,2007-05-17T23:22:10Z,UC-UcophyCsf6ki8T09VY-aw,recall666,RecaLL Video Counter Strike,nda,326,2,0,0,24
8Z-R7U7uPzY,2007-05-28T07:07:26Z,UCH5F_ESOaJqnhQz_7vQMfAA,reddragonrj,RedDragon - Counter-Strike,minha primeira edicao de demo !,325,0,0,0,24
re3hdNd_QJM,2007-05-09T23:25:59Z,UCJS4DKTEOB3Hm_Q4kQOmkHA,Chris Grell,Train CS 1.6 Double Deag,cevo pg match de_train,314,1,0,0,24
C5QW_4g6JPw,2007-05-16T12:11:39Z,UC90UDCNUuas98F1YK9iXhJw,Gigoss2,Gigoss Counter-Strike,"Gigoss alias GuiGui

Joue a cs ^^",313,2,0,0,1
9zZtxQ6BRQQ,2007-05-25T03:17:15Z,UC4AFxx7xslRhyNA70ZCUYOQ,Ze,Counter Strike 2,Second CS:S video. Enjoy!,312,2,4,0,24
b6IdoHcaiIY,2007-05-27T08:18:51Z,UCzbAm4UbU2Te1zDKtI6Aw3g,xxbiohazardxx,Biohazards counter-strike video,#vital.cs,311,3,2,0,24
UDDfxpyKNb4,2007-05-23T05:40:21Z,UC1K0grA9jE4PhCe8ZQQtTIQ,he11raiser19,Counter Strike 1.6 #FoS,#FoS  He11raiser.CUHZ,310,2,0,0,24
eqImKSmvR34,2007-05-24T04:29:52Z,UClYnkAg5GpwJbpXH4DChktA,nemhi,Counter strike 1.6 awp,made this vid to show ppl that i can awp :p some say i cant :D,309,0,1,0,20
fSJsWFeSxxc,2007-05-13T16:10:35Z,UCYeHhdYmAlwl9BuySEN74fw,Armand CooKerCat,Counter Strike Trip,Voici une petite videos où on peut nous voir jouer à CS chez moi !,308,3,1,0,24
