,month,peak,gain,average
63,2020-06-01,1646.0,0.0,0.0
62,2020-07-01,1239.0,407.0,0.0
61,2020-08-01,3525.0,2286.0,0.0
60,2020-09-01,1603.0,1922.0,0.0
59,2020-10-01,3669.0,2066.0,0.0
58,2020-11-01,7202.0,3533.0,0.0
57,2020-12-01,6911.0,291.0,0.0
56,2021-01-01,6902.0,9.0,0.0
55,2021-02-01,14223.0,7321.0,0.0
54,2021-03-01,8891.0,5332.0,0.0
53,2021-04-01,11131.0,2240.0,0.0
52,2021-05-01,6847.0,4284.0,0.0
51,2021-06-01,14904.0,8057.0,0.0
50,2021-07-01,43322.0,28418.0,0.0
49,2021-08-01,40774.0,2548.0,0.0
48,2021-09-01,15079.0,25695.0,0.0
47,2021-10-01,25880.0,10801.0,0.0
46,2021-11-01,12030.0,13850.0,0.0
45,2021-12-01,10270.0,1760.0,0.0
44,2022-01-01,11367.0,1097.0,0.0
43,2022-02-01,12408.0,1041.0,0.0
42,2022-03-01,11570.0,838.0,0.0
41,2022-04-01,10672.0,898.0,0.0
40,2022-05-01,10476.0,196.0,0.0
39,2022-06-01,8881.0,1595.0,0.0
38,2022-07-01,11525.0,2644.0,0.0
37,2022-08-01,10958.0,567.0,0.0
36,2022-09-01,15588.0,4630.0,0.0
35,2022-10-01,13209.0,2379.0,0.0
34,2022-11-01,53714.0,40505.0,0.0
33,2022-12-01,34103.0,19611.0,0.0
32,2023-01-01,24045.0,10058.0,0.0
31,2023-02-01,18211.0,5834.0,0.0
30,2023-03-01,16094.0,2117.0,0.0
29,2023-04-01,16992.0,898.0,0.0
28,2023-05-01,15095.0,1897.0,0.0
27,2023-06-01,14141.0,954.0,0.0
26,2023-07-01,14278.0,137.0,0.0
25,2023-08-01,14076.0,202.0,0.0
24,2023-09-01,12990.0,1086.0,0.0
23,2023-10-01,21213.0,8223.0,0.0
22,2023-11-01,38189.0,16976.0,0.0
21,2023-12-01,31985.0,6204.0,0.0
20,2024-01-01,22682.0,9303.0,0.0
19,2024-02-01,23073.0,391.0,0.0
18,2024-03-01,19604.0,3469.0,0.0
17,2024-04-01,17196.0,2408.0,0.0
16,2024-05-01,18475.0,1279.0,0.0
15,2024-06-01,22961.0,4486.0,0.0
14,2024-07-01,23139.0,178.0,0.0
13,2024-08-01,21191.0,1948.0,0.0
12,2024-09-01,19082.0,2109.0,0.0
11,2024-10-01,15798.0,3284.0,0.0
10,2024-11-01,18160.0,2362.0,0.0
9,2024-12-01,17764.0,396.0,0.0
8,2025-01-01,29298.0,11534.0,0.0
7,2025-02-01,38355.0,9057.0,0.0
6,2025-03-01,30393.0,7962.0,0.0
5,2025-04-01,20130.0,10263.0,0.0
4,2025-05-01,21799.0,1669.0,0.0
3,2025-06-01,15419.0,6380.0,0.0
2,2025-07-01,14847.0,572.0,0.0
1,2025-08-01,18720.0,3873.0,0.0
