Month,Avg Viewers,Gain,Peak Viewers,Avg Streams,Gain.1,Peak Streams,Hours Watched
2023-03-01,112765.0,23692.0,589121.0,1594.0,240.0,3088.0,808109536.0
2023-04-01,118738.0,5985.0,1087551.0,1458.0,136.0,2814.0,880109530.0
2023-05-01,62865.0,57063.0,489612.0,1346.0,112.0,2490.0,446527569.0
2023-06-01,81222.0,19543.0,421682.0,1350.0,4.0,2379.0,599125000.0
2023-07-01,85021.0,3853.0,586548.0,1303.0,47.0,2396.0,628891000.0
2023-08-01,62757.0,22264.0,505586.0,975.0,328.0,4556.0,449625340.0
2023-09-01,86787.0,24030.0,546449.0,1773.0,804.0,3829.0,641661584.0
2023-10-01,61178.0,25697.0,383963.0,1267.0,508.0,2462.0,438961481.0
2023-11-01,50150.0,11042.0,302110.0,1109.0,158.0,2333.0,370819000.0
2023-12-01,71072.0,20940.0,305821.0,1261.0,152.0,2503.0,515967301.0
2024-01-01,95200.0,24164.0,698049.0,1371.0,112.0,3142.0,661793416.0
2024-02-01,122486.0,27286.0,1553750.0,1370.0,1.0,2800.0,908142000.0
2024-03-01,76746.0,45744.0,277008.0,1291.0,79.0,2642.0,549666687.0
2024-04-01,75568.0,1220.0,317538.0,1167.0,124.0,2436.0,561792000.0
2024-05-01,61497.0,14789.0,610953.0,1072.0,95.0,2015.0,439333734.0
2024-06-01,55901.0,5638.0,630445.0,1065.0,7.0,2045.0,414134000.0
2024-07-01,83456.0,27689.0,719996.0,1166.0,101.0,2197.0,609697000.0
2024-08-01,78604.0,4888.0,626902.0,1156.0,10.0,2252.0,559775177.0
2024-09-01,63932.0,14672.0,432847.0,1230.0,76.0,2528.0,467633319.0
2024-10-01,67250.0,3318.0,438615.0,1254.0,24.0,2467.0,482863640.0
2024-11-01,73597.0,6355.0,951116.0,1296.0,42.0,2513.0,547003000.0
2024-12-01,80586.0,7009.0,525938.0,1714.0,418.0,3670.0,595945000.0
2025-01-01,103137.0,22581.0,952930.0,1877.0,163.0,3716.0,689849646.0
2025-02-01,107709.0,4614.0,631990.0,1769.0,108.0,3786.0,797808149.0
2025-03-01,87188.0,20569.0,827726.0,1681.0,88.0,3524.0,627951317.0
2025-04-01,99822.0,12660.0,722031.0,1601.0,80.0,3272.0,741902172.0
2025-05-01,117782.0,18074.0,1146827.0,1481.0,120.0,3053.0,848466647.0
2025-06-01,86343.0,31463.0,556026.0,1519.0,38.0,2998.0,642565317.0
2025-07-01,91794.0,5449.0,734295.0,1558.0,37.0,3044.0,682532909.0
2025-08-01,64286.0,27510.0,445214.0,1447.0,111.0,2952.0,154211193.0
